"","fish","agei","A1","A2","A3","A4","A6"
"275",69,2,232.179884457379,230.657723754451,231.575576270323,229.096377881082,227.986470128232
"276",69,3,227.30750125176,226.602336532151,226.784196410209,225.477993789425,224.294502383856
"277",69,4,224.683910294888,223.77585452873,223.897082904756,223.306963334431,222.418256480976
"278",69,5,220.248792248747,219.351795740767,219.904266354661,219.809192045829,219.149957166281
"279",69,6,218,218,218,218,218
"280",70,1,240.905589862432,238.936151394929,243.012993559098,236.449651187709,236.200307329611
"281",70,2,230.983800522902,230.643752633575,231.598848750677,228.695000012411,229.082703103841
"282",70,3,226.084917036509,226.036864432822,227.271508136495,225.175581402084,225.1016702318
"283",70,4,224.100559168603,224.071258800501,225.076480288722,223.684302329911,223.292109835418
"284",70,5,222.426257217557,222.412779048231,222.630592115489,222.491279072173,222.628604356744
"285",70,6,221,221,221,221,221
"286",71,1,189.964297763527,193.906956775669,192.873493504541,190.26858570977,191.060916700084
"287",71,2,184.394175401306,184.701578428093,184.543798939136,183.313245965669,183.772788050016
"288",71,3,182,182,182,182,182
"289",72,1,198.687900701551,199.217279185106,198.8293451363,197.109812003965,198.090995430558
"290",72,2,190.440594145911,191.414647100501,191.217418700768,190.822615484086,190.132179265111
"291",72,3,187,187,187,187,187
"292",73,1,218.169232502447,221.957022280948,221.089458445688,214.808807734968,220.271583593573
"293",73,2,210.3851110142,212.717904931283,211.185411704956,208.844692331927,211.027946114098
"294",73,3,206.962305820786,208.661707070454,207.921578119943,206.158153862089,206.994358850327
"295",73,4,204.698837870302,204.999861779428,205.051655484845,204.922346165964,204.417344765139
"296",73,5,202.545782990574,203.197107174615,202.857008763887,202.934307698284,202.512595223914
"297",73,6,201,201,201,201,201
"298",74,1,179.368663728693,179.673202873789,180.168470552893,177.288625385333,179.27822924882
"299",74,2,173.483010117305,173.92198813395,173.685713596302,173.156100132114,173.790414353535
"300",74,3,171,171,171,171,171
"301",75,1,196.641658082084,194.826805986625,197.381365415643,195.033449332168,193.8208296371
"302",75,2,189.167026914502,188.548247263788,189.302050447708,188.403484262614,187.957647764204
"303",75,3,185.504959295486,185.433686637498,185.615862993587,185.434843186694,185.123776525638
"304",75,4,184,184,184,184,184
"305",76,1,213.015528511686,214.602041272132,214.854040474328,209.647458896309,209.956151634821
"306",76,2,204.985245864411,205.747619260328,205.980555588837,203.474842430523,203.626424298739
"307",76,3,200.035071629789,199.992244952656,199.674242431225,199.502897922104,199.460706308327
"308",76,4,198,198,198,198,198
"309",77,1,209.84245527674,205.73621496468,208.000251804958,204.060102621365,205.909794312068
"310",77,2,201.230455491223,199.315039919987,201.741153929508,199.075267637088,199.081473353619
"311",77,3,195.507291076796,194.857364682349,195.967675716808,194.350059474908,194.707080239612
"312",77,4,193,193,193,193,193
"313",78,1,196.333940832079,195.997152996141,198.122855820373,193.202728637203,195.997152996141
"314",78,2,189.013797086211,189.848612085619,189.577504653698,188.213881007561,188.099027273681
"315",78,3,185.353725213277,185.499644124518,184.869886046907,185.16244993312,185.549632262001
"316",78,4,184,184,184,184,184
"317",79,1,217.362882604099,219.409974534313,219.616304582787,213.745434015122,212.186989547935
"318",79,2,209.404894743887,210.183204031045,210.627853779723,207.248568718912,206.093494773968
"319",79,3,205.7876275347,206.244948328431,207.066392140773,204.45652743459,203.235483950779
"320",79,4,203.56161694443,203.769473315359,203.504930501824,202.899427487565,201.995215102981
"321",79,5,201.558207413188,201.350259098039,201.413278428155,201.02016893081,200.593172057643
"322",79,6,200,200,200,200,200
"323",80,1,187.724129288429,188.554620251407,186.677190675794,185.545607678198,187.736976360261
"324",80,2,180.756921309649,181.553005111199,180.261300314555,180.185020115072,180.364991208362
"325",80,3,176,176,176,176,176
"326",81,1,202.794358184622,206.052466602481,205.510746109183,200.050588078916,203.205689101764
"327",81,2,197.325801863775,199.180332207301,198.488989424621,195.176052860642,196.939460155437
"328",81,3,194.281982779531,195.61311740675,195.292518098066,193.115682304464,193.884026206401
"329",81,4,192.269966774691,192.098361647383,192.410453787238,191.809105854205,191.916119595158
"330",81,5,190.825442463524,190.891803700138,191.048023385756,190.603035284735,190.828592257366
"331",81,6,190,190,190,190,190
"332",82,1,174.780183625097,174.091533593357,174.873382987387,173.824641381868,175.975878759016
"333",82,2,169.190971250746,169.482036757675,169.924399395315,169.333587053155,169.447966934277
"334",82,3,167,167,167,167,167
"335",83,1,170.871553103232,170.805239137111,170.035581216785,168.389440421723,169.242452099344
"336",83,2,164.36236306573,164.167179013315,164.054886982818,163.322395561113,163.348885313285
"337",83,3,161,161,161,161,161
"338",84,1,173.658672851084,179.068726773208,178.962857292415,176.424931324825,177.654980590489
"339",84,2,169.973955645727,172.041692763661,171.928357196449,170.8680617276,171.55230417952
"340",84,3,168,168,168,168,168
"341",85,1,174.984134280366,175.117850364478,174.84244187634,172.900815870888,171.537871536171
"342",85,2,167.763465738316,167.451461542054,167.983907718166,167.12714273447,166.775183662139
"343",85,3,165,165,165,165,165
"344",86,1,228.01186161059,226.207841314467,227.262080291869,222.669679359074,224.905585429506
"345",86,2,218.614987463008,218.083456424151,218.1227148681,215.72677767768,216.62413310762
"346",86,3,213.568518013381,213.358636842549,213.321655816372,212.479291407351,212.112169428799
"347",86,4,211.480323758363,211.687664063689,211.933397777319,211.023521699962,210.170311642977
"348",86,5,209.566145691264,209.267634521893,209.388258039054,209.511760849981,208.856701964333
"349",86,6,208,208,208,208,208
"350",87,1,190.646658219527,192.108793482329,191.831811573672,187.87672362347,188.792770409731
"351",87,2,184.725458032289,185.775331462777,185.440487801345,182.987405264019,182.792298344945
"352",87,3,180.859550472025,181.454830240136,180.86823310268,180.186727757148,180.344105742512
"353",87,4,179,179,179,179,179
"354",88,1,172.852015071023,172.766655246422,173.937246873534,171.248671300676,170.676210884271
"355",88,2,166,166,166,166,166
"356",89,1,229.081291265713,230.24189084473,230.2744410194,226.542434120246,227.814748014518
"357",89,2,219.449753761428,220.799111078335,219.506929215352,218.684549211869,219.054617055905
"358",89,3,216.199848468571,217.29518651093,217.067879580181,215.680063805725,216.291354270303
"359",89,4,214.131726918571,214.622701671384,214.390873883043,213.946706840641,213.704469960377
"360",89,5,212.477229678571,212.722268007707,212.665692433775,212.386685572067,212.763784756768
"361",89,6,211,211,211,211,211
"362",90,1,218.719839841159,218.7009725172,220.611430446241,217.476759791872,215.506055108284
"363",90,2,211.154166842331,211.540381942367,212.605568678938,210.988844700099,209.502595046407
"364",90,3,207.145489357877,207.537217132815,208.030790526193,207.162638363925,206.556452608635
"365",90,4,205,205,205,205,205
"366",91,1,165.708560926917,168.032120970704,166.506513612977,163.371698066659,165.046208058451
"367",91,2,161.479884707597,162.92071357115,162.196894108427,159.940783723074,160.585356958688
"368",91,3,158.004833953106,158.107471603237,158.098530461944,157.694351712392,157.583662760717
"369",91,4,157,157,157,157,157
"370",92,1,179.890061534547,177.247780010127,179.678555111518,177.377694840538,179.247949072446
"371",92,2,174.12476500019,172.853813378988,173.039159817626,173.187892832331,172.898610903304
"372",92,3,170,170,170,170,170
"373",93,1,206.380533198552,206.528226412203,206.391146148109,204.039331222504,199.926172092663
"374",93,2,198.923960428933,198.91820305343,198.526839516986,197.863984604065,195.353380500742
"375",93,3,194.609800469367,194.341545648853,193.925952644357,194.283321438751,193.168602295713
"376",93,4,192,192,192,192,192
"377",94,1,178.946858474237,179.093967991155,180.626937829164,177.588959322664,177.234303349837
"378",94,2,171.770586150358,171.6371628085,172.091289026008,171.728783951471,171.069824885751
"379",94,3,169,169,169,169,169
"380",95,1,245.017185601549,248.33270111078,244.201454412584,241.960803099694,239.083550630464
"381",95,2,232.261944543731,234.444391265628,233.319909755469,231.725557141656,229.981092259425
"382",95,3,227.284289496778,228.990534431458,226.941073232333,226.577289713661,225.672595297133
"383",95,4,224.608799909041,226.009938254644,224.25195587454,224.187022693521,223.488005288084
"384",95,5,222.306634449825,222.902508197966,222.31328987241,222.348355754951,221.78887972549
"385",95,6,221,221,221,221,221
"386",96,1,210.864010656697,212.889133848977,209.674941136143,206.266902940423,198.190555691358
"387",96,2,200.870894529778,203.418671611746,201.992519912835,199.211270940796,195.417186741629
"388",96,3,196.916399377949,198.764615883736,197.42604575912,196.098492117431,193.881928930173
"389",96,4,195.099469173055,196.058769530242,195.115947069594,194.64586199986,193.040013356148
"390",96,5,193.442856339181,193.948209374516,193.772866436148,193.037592941122,192.346671118716
"391",96,6,192,192,192,192,192
"392",97,1,240.652568047505,242.611781833512,241.417723017283,232.229331996194,233.006477369969
"393",97,2,230.03610563832,231.555219943838,229.770813156836,227.193436721821,225.03059372845
